Parameter,Resolution,Video,Average FPS,Total Gaussian Time,Total Tracking Time,Total Processing Time
Alpha-0.1,120p,Traffic3,243.93142244291062,2.1845699724508183,0.11892722401532439,3.5528709716745395
Alpha-0.1,120p,Traffic4,239.85954009259345,1.4702184044290163,0.07330272119723419,2.3525994305964386
Alpha-0.1,120p,Traffic5,228.17488576455042,5.513905640342212,0.2614314000238048,8.629919861094034
Alpha-0.1,1440p,Traffic1,1.3230743483085738,906.6168521278305,194.62436687340957,1378.9420864021522
Alpha-0.1,1440p,Traffic2,1.4282439317881344,1277.9945373259834,196.14537053776434,1843.5940111288219
Alpha-0.1,1440p,Traffic3,1.0845412653327753,502.49530649988446,88.33968083839864,734.9056726743584
Alpha-0.1,1440p,Traffic4,1.067696380077751,334.80507053982,247.46326206752565,697.2407769762212
Alpha-0.1,1440p,Traffic5,1.3360275804354635,917.6944859960931,215.15055295452473,1385.687517481856
Alpha-0.1,2160p,Traffic1,0.7324328849925448,1644.3782485325937,638.4919098418322,2764.1584495081333
Alpha-0.1,2160p,Traffic2,0.8065773232148751,2235.6463120511035,577.0899523254484,3405.3507808654103
Alpha-0.1,2160p,Traffic3,0.5916791140963968,894.8925889466773,301.9686557605164,1468.4027390806004
Alpha-0.1,2160p,Traffic4,0.5664230632763926,614.3823228586698,829.0416602913174,1666.1870242403238
Alpha-0.1,2160p,Traffic5,0.7408416055532179,1656.299860443978,1194.6117546483874,3283.3103070374927
Alpha-0.1,240p,Traffic1,47.06672041444226,25.5888462197035,1.8886751313111159,36.73609986191144
Alpha-0.1,240p,Traffic2,46.846383940336,38.74578606960122,3.1808117693871303,56.221139890781984
Alpha-0.1,240p,Traffic3,47.34225733545381,11.252491592080307,0.6799194248742164,16.339382832637032
Alpha-0.1,240p,Traffic4,46.431903461146256,7.547305405372736,0.41465041477929987,11.14393813227069
Alpha-0.1,240p,Traffic5,43.92465057301006,28.680402306839767,1.0488077981862574,38.18891961075127
Alpha-0.1,360p,Traffic1,20.319565887253972,59.39078183885425,4.3369593581300565,81.14632315735793
Alpha-0.1,360p,Traffic2,19.991177718177116,91.45925985625937,7.67193301656507,127.92797967174549
Alpha-0.1,360p,Traffic3,19.89926742648126,27.11792620236517,1.8954695431748132,37.974436418153324
Alpha-0.1,360p,Traffic4,19.921787749553108,17.63870823732576,1.3729427458601833,25.681906518468153
Alpha-0.1,360p,Traffic5,18.73322860741056,67.27400816808216,2.7234824801561754,87.25540178915247
Alpha-0.1,480p,Traffic1,11.130725509782266,108.69216961460182,8.627616338664605,151.4995377204031
Alpha-0.1,480p,Traffic2,10.98474559727231,166.9194633814622,14.738372239749786,239.17887071304716
Alpha-0.1,480p,Traffic3,11.067223708230895,48.40346090105594,4.085511676326834,69.76115126797231
Alpha-0.1,480p,Traffic4,10.818766686328306,32.659165687859044,3.6977469489793116,49.64189213607459
Alpha-0.1,480p,Traffic5,10.289221606373227,121.9847719247918,5.135659690480619,160.60792424471578
Alpha-0.1,720p,Traffic1,5.214694409877733,229.67057545221178,22.1652258940739,317.63721368601546
Alpha-0.1,720p,Traffic2,4.20284870930567,458.1187718876754,43.01211468561078,636.2737462476362
Alpha-0.1,720p,Traffic3,4.3695608998088,128.2165922941058,12.200802915089273,180.76113013899885
Alpha-0.1,720p,Traffic4,4.355633101290182,83.90326497959904,16.96440499357412,131.37448968895478
Alpha-0.1,720p,Traffic5,4.2548844060720015,301.43026978883427,15.35542633669678,392.25716954289237
Alpha-0.5,1080p,Traffic1,2.248667416063518,532.5546539451461,86.04139403626317,778.5439026529784
Alpha-0.5,1080p,Traffic2,1.8659185515516474,1003.6142831482575,141.0417996811447,1433.863396827539
Alpha-0.5,1080p,Traffic3,1.8826499682569053,295.76008852629457,53.24055587680775,435.5879018131527
Alpha-0.5,1080p,Traffic4,1.912739658080594,191.03326664265478,17.09972521651069,268.5116236721515
Alpha-0.5,1080p,Traffic5,1.7101310077445746,745.9022141766036,38.97923543216888,958.3983436566778
Alpha-0.5,120p,Traffic1,243.6233545046376,5.032808143820089,0.3359818857861085,8.196326073550093
Alpha-0.5,120p,Traffic2,242.4471803805567,7.626985105045515,0.42711838014647663,12.53487680933895
Alpha-0.5,120p,Traffic3,244.52805110972892,2.1894178686779657,0.1072685954859218,3.478122416068773
Alpha-0.5,120p,Traffic4,239.14672004795779,1.4765304140746423,0.06720131606560331,2.337431973544864
Alpha-0.5,120p,Traffic5,207.5493982740746,6.14372971461847,0.2607870728242519,9.137034740357134
Alpha-0.5,1440p,Traffic1,1.2482252250979948,959.1006278463756,234.63824524747906,1473.6158453127719
Alpha-0.5,1440p,Traffic2,1.3133527973567465,1384.5555982226506,229.82924412889403,1985.07200153952
Alpha-0.5,1440p,Traffic3,1.0776061078879482,503.0360223304597,155.61673686065478,804.9671138036647
Alpha-0.5,1440p,Traffic4,1.0385271418518576,347.5271180628333,107.87110816058703,559.6641890273895
Alpha-0.5,1440p,Traffic5,1.1256997621510911,1091.1843879076187,111.22132562729524,1494.3889924258692
Alpha-0.5,2160p,Traffic1,0.6625249426862928,1814.140594672761,816.0938599822111,3184.331732989056
Alpha-0.5,2160p,Traffic2,0.7529170725406529,2402.2295388567727,705.6464328563889,3756.4267001524568
