Parameter,Resolution,Video,Average FPS,Total Gaussian Time,Total Tracking Time,Total Processing Time
Morph-5,2160p,Traffic1,0.6117418818809937,1959.810732314596,179.980387913587,2549.5250407924177
Morph-5,2160p,Traffic2,0.6170028644575478,2923.6992382301833,804.0028930224944,4276.34164986643
Morph-5,2160p,Traffic3,0.5169822116032369,1026.4196405741386,626.020205668523,1926.7837859204737
Morph-5,2160p,Traffic4,0.4531226613425385,767.8006117862533,263.41610136977397,1234.0555175557383
Morph-5,2160p,Traffic5,0.6323707424883945,1928.1271973811672,486.197846442461,2809.475597807206
Morph-5,240p,Traffic1,33.288787246019446,37.96770152111998,2.364875430241166,51.2552098075393
Morph-5,240p,Traffic2,33.393218059952375,56.67049136111737,4.335190461948427,77.87045630498315
Morph-5,240p,Traffic3,30.37808040805109,18.71099725202655,1.3070631888112736,26.15964236628495
Morph-5,240p,Traffic4,25.123501701160475,15.53602767188566,2.189399899856636,23.600370003376142
Morph-5,240p,Traffic5,33.639696004285305,37.81573261233274,1.8948384413378614,50.004354367672875
Morph-5,360p,Traffic1,14.965407639794316,82.72122417500935,4.578512951556999,106.13346383423772
Morph-5,360p,Traffic2,13.982597925028239,137.01652742957225,10.142431458982086,180.58834155224025
Morph-5,360p,Traffic3,13.63802190295418,41.34700884117045,3.3611184921464625,55.60482972179305
Morph-5,360p,Traffic4,13.042915884119264,28.858443236676962,4.016600595321489,41.603023628471405
Morph-5,360p,Traffic5,14.619995540918742,87.78438509732945,4.115820776030827,111.05751777352992
Morph-5,480p,Traffic1,7.9848079828278875,159.02503790258191,8.562312915222659,205.5029669404612
Morph-5,480p,Traffic2,7.921142019625695,240.32384141639335,17.806164245586757,317.960800621775
Morph-5,480p,Traffic3,8.384840322154218,63.863831468333935,6.863725180795857,88.54588621738367
Morph-5,480p,Traffic4,8.018219400556141,44.72766387107548,6.7505942065035764,65.03090903401608
Morph-5,480p,Traffic5,8.804640889325341,140.75425876182265,6.206721985188718,178.05807463917876
Morph-5,720p,Traffic1,4.186057384780489,286.0580067318515,15.683904050791112,364.26907610776834
Morph-5,720p,Traffic2,3.4590843035948273,547.3651084885933,49.67198211984933,720.8661679434008
Morph-5,720p,Traffic3,4.072296943255731,129.75553379789926,24.49334943218853,188.3205030952231
Morph-5,720p,Traffic4,3.4903506465827836,103.82004620239604,19.05199004092718,152.11294390063267
Morph-5,720p,Traffic5,3.757779732774311,333.8667694090982,17.54630828369403,421.8845747541054
Morph-7,1080p,Traffic1,1.386729342730972,863.7639683083398,37.73989316611545,1054.6051951283007
Morph-7,1080p,Traffic2,1.4331483325033783,1263.9774157970096,95.00170614977824,1574.0958238981548
Morph-7,1080p,Traffic3,1.3880761288737178,380.7984486804926,56.66307096398667,510.83456163143273
Morph-7,1080p,Traffic4,1.1690504844348653,308.09233958955156,46.972439470700905,414.91086091514444
Morph-7,1080p,Traffic5,1.253818222191405,997.3704140501213,48.896081968326996,1204.6073836999713
Morph-7,120p,Traffic1,131.3488232578087,10.053056290082107,0.5659187277196329,14.630818385980032
Morph-7,120p,Traffic2,151.00236056396238,12.036835274484385,0.8321326711446995,17.299958768766288
Morph-7,120p,Traffic3,137.17391111460856,4.1154772550798695,0.17544515960614288,5.9110861100489025
Morph-7,120p,Traffic4,143.803631731557,2.4248089265893036,0.2051502538379112,3.594149631855527
Morph-7,120p,Traffic5,127.16201054061055,10.746209296048558,0.4242178900748813,15.154154699121076
Morph-7,1440p,Traffic1,0.8844297968773868,1354.4176180991926,65.4555346629931,1658.2466465245816
Morph-7,1440p,Traffic2,1.04709274165863,1728.378684754076,152.37161536962952,2141.2027382507804
Morph-7,1440p,Traffic3,0.7772779830470848,679.6775185356382,166.61141294438858,982.1469994696672
Morph-7,1440p,Traffic4,0.6758094672924214,524.1289806456771,101.1007379751536,728.6828274174477
Morph-7,1440p,Traffic5,0.9169279730264882,1336.5383643411915,103.80200407054502,1630.8576220771065
Morph-7,2160p,Traffic1,0.478517534237602,2498.6682559282053,134.56932188133936,3031.120217283722
Morph-7,2160p,Traffic2,0.48742082607695136,3698.0312499213615,487.3138444101205,4703.361393449944
Morph-7,2160p,Traffic3,0.42142804778604165,1257.1125628562295,527.030947295716,2030.7238897821517
Morph-7,2160p,Traffic4,0.3719031971945266,936.2867450129124,220.54014270449989,1341.7446371946135
Morph-7,2160p,Traffic5,0.49744922135364245,2445.1574425864965,377.45624993368983,3168.35086268984
Morph-7,240p,Traffic1,25.491127052104947,50.35172064928332,2.3765464063616797,64.22925149230281
Morph-7,240p,Traffic2,25.43508488446024,75.10852792608776,4.322978036769112,97.1574589891242
Morph-7,240p,Traffic3,24.733459749455236,22.756297285261077,1.0053056732285501,29.116587162949124
Morph-7,240p,Traffic4,25.050463711022317,14.456337511364822,1.323977948864905,19.773626503127147
Morph-7,240p,Traffic5,26.12637116352779,49.05205375090003,1.788236870430348,61.14603766752401
Morph-7,360p,Traffic1,11.363288219006707,111.16399423789693,4.622431067749799,136.37790449877497
Morph-7,360p,Traffic2,11.105554107383622,170.59183920436766,8.573958604887506,211.57013137097232
Morph-7,360p,Traffic3,11.015573375742244,50.3668163048569,2.3244744624825864,63.04218797734937
Morph-7,360p,Traffic4,10.962997225907342,33.2901641060016,3.5131741990335117,44.86256820778361
Morph-7,360p,Traffic5,11.148599086399452,115.86645803024288,4.119387269369266,139.92633302550524
Morph-7,480p,Traffic1,6.785671808335859,179.33566976280417,6.979542696906661,218.82517018704675
Morph-7,480p,Traffic2,6.6968893183649865,273.6879313432728,13.256313952209805,339.7577560269856
Morph-7,480p,Traffic3,6.931252474452721,76.55840998102212,4.065269082901041,96.09248878544895
Morph-7,480p,Traffic4,7.001938907393652,49.87394302419851,5.594627061160264,67.4127205965342
Morph-7,480p,Traffic5,7.244328526784041,168.69953876262292,5.571246255596574,203.0585317375953
Morph-7,720p,Traffic1,3.2143106250334896,372.57503541745245,14.953784647281223,451.4777524677338
Morph-7,720p,Traffic2,2.7106730304215363,695.9844810051727,39.10943071026114,859.4414495654637
Morph-7,720p,Traffic3,3.1779787670069117,166.32752669032197,13.332974026852728,211.2137649085489
Morph-7,720p,Traffic4,2.6991014884003848,134.84230649395613,17.195854108082113,180.8689700452378
Morph-7,720p,Traffic5,2.765644540346243,462.49437949137064,17.355136438331044,553.8763248806354
