Resolution,Traffic,K,A,T,M,ParamSweep Path,OpenCV Path,Otsu Path,SSIM OpenCV AVG,SSIM OpenCV Var,SSIM OpenCV Med,SSIM Otsu AVG,SSIM Otsu Var,SSIM Otsu Med,Frames Compared,Traffic Video,Method
120p,Traffic1,K3,A0.01_,T0.9,M5,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K3\A0.01_\T0.9\M5\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\120p\Traffic1\Traffic1-Mask.mp4,0.9291,0.0035,0.9371,0.8544,0.0027,0.8553,500,Traffic1,OpenCV
120p,Traffic2,K4,A0.01_,T0.9,M5,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic2\K4\A0.01_\T0.9\M5\Traffic2-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\120p\Traffic2\Traffic2-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\120p\Traffic2\Traffic2-Mask.mp4,0.9163,0.0108,0.9355,0.8955,0.0041,0.9003,500,Traffic2,OpenCV
120p,Traffic3,K2,A0.1_,T0.9,M5,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic3\K2\A0.1_\T0.9\M5\Traffic3-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\120p\Traffic3\Traffic3-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\120p\Traffic3\Traffic3-Mask.mp4,0.9696,0.0022,0.9727,0.9664,0.0002,0.9656,500,Traffic3,OpenCV
120p,Traffic4,K3,A0.1_,T0.7,M5,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic4\K3\A0.1_\T0.7\M5\Traffic4-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\120p\Traffic4\Traffic4-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\120p\Traffic4\Traffic4-Mask.mp4,0.9402,0.0061,0.9715,0.8501,0.0077,0.8428,500,Traffic4,OpenCV
120p,Traffic5,K4,A0.1_,T0.9,M5,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic5\K4\A0.1_\T0.9\M5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\120p\Traffic5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\120p\Traffic5\Traffic5-Mask.mp4,0.9904,0.0021,0.993,0.9159,0.0006,0.9113,500,Traffic5,OpenCV
240p,Traffic1,K3,A0.01_,T0.9,M3,Data-Processing\Raw-Data\Param-Sweep\240p\Traffic1\K3\A0.01_\T0.9\M3\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\240p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\240p\Traffic1\Traffic1-Mask.mp4,0.9245,0.0033,0.9327,0.8287,0.003,0.8347,500,Traffic1,OpenCV
240p,Traffic2,K4,A0.01_,T0.9,M3,Data-Processing\Raw-Data\Param-Sweep\240p\Traffic2\K4\A0.01_\T0.9\M3\Traffic2-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\240p\Traffic2\Traffic2-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\240p\Traffic2\Traffic2-Mask.mp4,0.8862,0.0162,0.9077,0.7088,0.0065,0.7202,500,Traffic2,OpenCV
240p,Traffic3,K4,A0.01_,T0.9,M3,Data-Processing\Raw-Data\Param-Sweep\240p\Traffic3\K4\A0.01_\T0.9\M3\Traffic3-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\240p\Traffic3\Traffic3-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\240p\Traffic3\Traffic3-Mask.mp4,0.8654,0.0024,0.8645,0.6398,0.0067,0.6106,500,Traffic3,OpenCV
240p,Traffic4,K4,A0.1_,T0.9,M3,Data-Processing\Raw-Data\Param-Sweep\240p\Traffic4\K4\A0.1_\T0.9\M3\Traffic4-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\240p\Traffic4\Traffic4-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\240p\Traffic4\Traffic4-Mask.mp4,0.6711,0.0276,0.6513,0.5538,0.017,0.5203,250,Traffic4,OpenCV
240p,Traffic5,K4,A0.1_,T0.9,M3,Data-Processing\Raw-Data\Param-Sweep\240p\Traffic5\K4\A0.1_\T0.9\M3\Traffic5-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\240p\Traffic5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\240p\Traffic5\Traffic5-Mask.mp4,0.9461,0.0028,0.9558,0.8616,0.0005,0.8583,500,Traffic5,OpenCV
