Best Settings Category,Category,Use Object Detection,Refresh Index,Resolution,Traffic Video,K,A,T,M,Raw Size (Bytes),Compressed Size (Bytes)
Best-OpenCV-Settings,Category-NA,False,10,240p,Traffic4,4,0.1,0.9,4,3603704,1426470
Best-OpenCV-Settings,Category-NA,False,10,240p,Traffic5,4,0.1,0.9,4,2681853,1887407
Best-OpenCV-Settings,Category-NA,False,10,240p,Traffic3,4,0.1,0.9,5,3734983,2145052
Best-OpenCV-Settings,Category-NA,False,10,240p,Traffic4,4,0.1,0.9,5,3603704,1429350
Best-OpenCV-Settings,Category-NA,False,10,240p,Traffic5,4,0.1,0.9,5,2681853,1892989
Best-OpenCV-Settings,Category-NA,False,10,360p,Traffic1,3,0.01,0.9,3,7708502,7532860
Best-OpenCV-Settings,Category-NA,False,10,360p,Traffic1,3,0.01,0.9,4,7708502,7458647
Best-OpenCV-Settings,Category-NA,False,10,360p,Traffic1,3,0.01,0.9,5,7708502,7381941
Best-OpenCV-Settings,Category-NA,False,10,360p,Traffic2,4,0.01,0.9,3,20680183,19623645
Best-OpenCV-Settings,Category-NA,False,10,360p,Traffic2,4,0.01,0.9,4,20680183,18836123
Best-OpenCV-Settings,Category-NA,False,10,360p,Traffic2,4,0.01,0.9,5,20680183,18547632
Best-OpenCV-Settings,Category-NA,False,10,360p,Traffic3,4,0.1,0.9,3,7806182,6090951
Best-OpenCV-Settings,Category-NA,False,10,360p,Traffic4,4,0.1,0.9,3,7204172,3752117
Best-OpenCV-Settings,Category-NA,False,10,360p,Traffic5,4,0.1,0.9,3,5196125,4118399
Best-OpenCV-Settings,Category-NA,False,10,360p,Traffic3,4,0.1,0.9,4,7806182,4383280
Best-OpenCV-Settings,Category-NA,False,10,360p,Traffic4,4,0.1,0.9,4,7204172,2882844
Best-OpenCV-Settings,Category-NA,False,10,360p,Traffic5,4,0.1,0.9,4,5196125,3664574
Best-OpenCV-Settings,Category-NA,False,10,360p,Traffic3,4,0.1,0.9,5,7806182,4400644
Best-OpenCV-Settings,Category-NA,False,10,360p,Traffic4,4,0.1,0.9,5,7204172,2887055
Best-OpenCV-Settings,Category-NA,False,10,360p,Traffic5,4,0.1,0.9,5,5196125,3682549
Best-OpenCV-Settings,Category-NA,False,10,480p,Traffic1,3,0.01,0.9,3,12242792,11609391
Best-OpenCV-Settings,Category-NA,False,10,480p,Traffic1,3,0.01,0.9,4,12242792,11505229
Best-OpenCV-Settings,Category-NA,False,10,480p,Traffic1,3,0.01,0.9,5,12242792,11377466
Best-OpenCV-Settings,Category-NA,False,10,480p,Traffic4,3,0.1,0.9,4,11127035,4647288
Best-OpenCV-Settings,Category-NA,False,10,480p,Traffic2,4,0.01,0.9,3,37820128,33708308
Best-OpenCV-Settings,Category-NA,False,10,480p,Traffic2,4,0.01,0.9,4,37820128,32386226
Best-OpenCV-Settings,Category-NA,False,10,480p,Traffic2,4,0.01,0.9,5,37820128,31807399
Best-OpenCV-Settings,Category-NA,False,10,480p,Traffic3,4,0.1,0.9,3,12558393,10338190
Best-OpenCV-Settings,Category-NA,False,10,480p,Traffic4,4,0.1,0.9,3,11127035,6497111
Best-OpenCV-Settings,Category-NA,False,10,480p,Traffic5,4,0.1,0.9,3,8120337,6485953
Best-OpenCV-Settings,Category-NA,False,10,480p,Traffic3,4,0.1,0.9,4,12558393,7190277
Best-OpenCV-Settings,Category-NA,False,10,480p,Traffic5,4,0.1,0.9,4,8120337,5731528
Best-OpenCV-Settings,Category-NA,False,10,480p,Traffic3,4,0.1,0.9,5,12558393,7236725
Best-OpenCV-Settings,Category-NA,False,10,480p,Traffic4,4,0.1,0.9,5,11127035,4553258
Best-OpenCV-Settings,Category-NA,False,10,480p,Traffic5,4,0.1,0.9,5,8120337,5756853
Best-OpenCV-Settings,Category-NA,False,20,120p,Traffic3,2,0.1,0.9,4,771679,409736
Best-OpenCV-Settings,Category-NA,False,20,120p,Traffic4,2,0.1,0.9,4,772620,286365
Best-OpenCV-Settings,Category-NA,False,20,120p,Traffic3,2,0.1,0.9,5,771679,409765
Best-OpenCV-Settings,Category-NA,False,20,120p,Traffic1,3,0.01,0.9,3,1113249,1096783
Best-OpenCV-Settings,Category-NA,False,20,120p,Traffic1,3,0.01,0.9,4,1113249,1045230
Best-OpenCV-Settings,Category-NA,False,20,120p,Traffic1,3,0.01,0.9,5,1113249,1042200
Best-OpenCV-Settings,Category-NA,False,20,120p,Traffic4,3,0.1,0.7,5,772620,291996
Best-OpenCV-Settings,Category-NA,False,20,120p,Traffic2,4,0.01,0.9,3,2314079,2249664
Best-OpenCV-Settings,Category-NA,False,20,120p,Traffic2,4,0.01,0.9,5,2314079,1961863
Best-OpenCV-Settings,Category-NA,False,20,120p,Traffic3,4,0.1,0.9,3,771679,433758
Best-OpenCV-Settings,Category-NA,False,20,120p,Traffic4,4,0.1,0.9,3,772620,327249
Best-OpenCV-Settings,Category-NA,False,20,120p,Traffic5,4,0.1,0.9,3,670191,498509
Best-OpenCV-Settings,Category-NA,False,20,120p,Traffic2,4,0.1,0.9,4,2314079,1349956
Best-OpenCV-Settings,Category-NA,False,20,120p,Traffic5,4,0.1,0.9,4,670191,449218
