Resolution,Traffic,K,A,T,M,ParamSweep Path,OpenCV Path,Otsu Path,SSIM OpenCV AVG,SSIM OpenCV Var,SSIM OpenCV Med,SSIM Otsu AVG,SSIM Otsu Var,SSIM Otsu Med,Frames Compared,Traffic Video,Method
480p,Traffic1,K4,A0.1_,T0.9,M3,Data-Processing\Raw-Data\Param-Sweep\480p\Traffic1\K4\A0.1_\T0.9\M3\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\480p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\480p\Traffic1\Traffic1-Mask.mp4,0.7387,0.1405,0.9381,0.8982,0.0052,0.9021,5,Traffic1,Otsu
480p,Traffic2,K4,A0.1_,T0.9,M3,Data-Processing\Raw-Data\Param-Sweep\480p\Traffic2\K4\A0.1_\T0.9\M3\Traffic2-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\480p\Traffic2\Traffic2-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\480p\Traffic2\Traffic2-Mask.mp4,0.7135,0.128,0.8728,0.7482,0.0163,0.6969,5,Traffic2,Otsu
480p,Traffic3,K4,A0.1_,T0.9,M3,Data-Processing\Raw-Data\Param-Sweep\480p\Traffic3\K4\A0.1_\T0.9\M3\Traffic3-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\480p\Traffic3\Traffic3-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\480p\Traffic3\Traffic3-Mask.mp4,0.6827,0.117,0.8432,0.6725,0.0273,0.6066,5,Traffic3,Otsu
480p,Traffic4,K4,A0.1_,T0.9,M3,Data-Processing\Raw-Data\Param-Sweep\480p\Traffic4\K4\A0.1_\T0.9\M3\Traffic4-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\480p\Traffic4\Traffic4-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\480p\Traffic4\Traffic4-Mask.mp4,0.4242,0.0551,0.4512,0.592,0.0451,0.5075,5,Traffic4,Otsu
480p,Traffic5,K4,A0.1_,T0.9,M3,Data-Processing\Raw-Data\Param-Sweep\480p\Traffic5\K4\A0.1_\T0.9\M3\Traffic5-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\480p\Traffic5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\480p\Traffic5\Traffic5-Mask.mp4,0.7646,0.1462,0.954,0.9022,0.0024,0.8802,5,Traffic5,Otsu
480p,Traffic1,K4,A0.1_,T0.9,M4,Data-Processing\Raw-Data\Param-Sweep\480p\Traffic1\K4\A0.1_\T0.9\M4\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\480p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\480p\Traffic1\Traffic1-Mask.mp4,0.7426,0.1416,0.9447,0.9101,0.0038,0.908,5,Traffic1,Otsu
480p,Traffic2,K4,A0.1_,T0.9,M4,Data-Processing\Raw-Data\Param-Sweep\480p\Traffic2\K4\A0.1_\T0.9\M4\Traffic2-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\480p\Traffic2\Traffic2-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\480p\Traffic2\Traffic2-Mask.mp4,0.7269,0.1326,0.895,0.8335,0.0071,0.8073,5,Traffic2,Otsu
480p,Traffic3,K4,A0.1_,T0.9,M4,Data-Processing\Raw-Data\Param-Sweep\480p\Traffic3\K4\A0.1_\T0.9\M4\Traffic3-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\480p\Traffic3\Traffic3-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\480p\Traffic3\Traffic3-Mask.mp4,0.7124,0.127,0.8819,0.7636,0.0146,0.7153,5,Traffic3,Otsu
480p,Traffic4,K4,A0.1_,T0.9,M4,Data-Processing\Raw-Data\Param-Sweep\480p\Traffic4\K4\A0.1_\T0.9\M4\Traffic4-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\480p\Traffic4\Traffic4-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\480p\Traffic4\Traffic4-Mask.mp4,0.5325,0.0788,0.5907,0.6606,0.0313,0.5861,5,Traffic4,Otsu
480p,Traffic5,K4,A0.1_,T0.9,M4,Data-Processing\Raw-Data\Param-Sweep\480p\Traffic5\K4\A0.1_\T0.9\M4\Traffic5-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\480p\Traffic5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\480p\Traffic5\Traffic5-Mask.mp4,0.7731,0.1494,0.9631,0.9095,0.0021,0.8877,5,Traffic5,Otsu
480p,Traffic1,K4,A0.1_,T0.9,M5,Data-Processing\Raw-Data\Param-Sweep\480p\Traffic1\K4\A0.1_\T0.9\M5\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\480p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\480p\Traffic1\Traffic1-Mask.mp4,0.7474,0.1431,0.9538,0.9191,0.0032,0.9184,5,Traffic1,Otsu
480p,Traffic2,K4,A0.1_,T0.9,M5,Data-Processing\Raw-Data\Param-Sweep\480p\Traffic2\K4\A0.1_\T0.9\M5\Traffic2-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\480p\Traffic2\Traffic2-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\480p\Traffic2\Traffic2-Mask.mp4,0.735,0.1354,0.9063,0.8751,0.004,0.8502,5,Traffic2,Otsu
480p,Traffic3,K4,A0.1_,T0.9,M5,Data-Processing\Raw-Data\Param-Sweep\480p\Traffic3\K4\A0.1_\T0.9\M5\Traffic3-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\480p\Traffic3\Traffic3-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\480p\Traffic3\Traffic3-Mask.mp4,0.7291,0.133,0.9037,0.8299,0.0079,0.794,5,Traffic3,Otsu
480p,Traffic4,K4,A0.1_,T0.9,M5,Data-Processing\Raw-Data\Param-Sweep\480p\Traffic4\K4\A0.1_\T0.9\M5\Traffic4-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\480p\Traffic4\Traffic4-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\480p\Traffic4\Traffic4-Mask.mp4,0.5961,0.0967,0.6691,0.7152,0.0227,0.6554,5,Traffic4,Otsu
480p,Traffic5,K4,A0.1_,T0.9,M5,Data-Processing\Raw-Data\Param-Sweep\480p\Traffic5\K4\A0.1_\T0.9\M5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\480p\Traffic5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\480p\Traffic5\Traffic5-Mask.mp4,0.7796,0.1519,0.9721,0.9123,0.0019,0.8913,5,Traffic5,Otsu
